"WILAYA","COMMUNE","LOCALITÉ","Longitude","Latitude","المنطقة","البلدية","Populations","Covert_Fixe","Type_tech","Etat_loc","Obser_DW","Observations"
"BOUIRA","Oued El Berdi","Bhailia","36.265233","3.946747","بهايلية ","واد البردي","700","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Oued El Berdi","Akouache","36.267742","3.958847","اقواش","واد البردي","600","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Oued el Berdi","Ouled Ali Belakhdhar","36.249121","3.897621","اولاد علي بلخضر","واد البردي","179","Non","","éligible NH ","",""
"BOUIRA","Oued El Berdi","El Bardi","36.275822","3.908121","البردي ","واد البردي","220","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Oued El Berdi","Yahyaoui","36.283505","3.945589","يحياوي ","واد البردي","230","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Oued El Berdi","Ouled Mohamed Ben Ali","36.32008","3.91016","اولاد محمد بن علي","واد البردي","100","Non","","éligible 2G NH","",""
"BOUIRA","Ouled Rached","Helouane","36.134395","4.123353","حلوان","اولاد راشد","350","Non","","éligible 2G ","",""
"BOUIRA","Ouled Rached","Hidous","36.179347","4.137592","حدوس","اولاد راشد","400","Non","","éligible ","",""
"BOUIRA","Ouled Rached","Tifraouine","36.170093","4.113448","ثفراوين","اولاد راشد","150","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ouled Rached","Tala Mliha","36.191921","4.079288","ثالة مليحة","اولاد راشد","288","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ouled Rached","Chivoune","36.150561","4.103373","شيفون","اولاد راشد","233","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ouled Rached","El Hamam","36.172161","3.981298","الحمام","اولاد راشد","543","Non","","éligible ","",""
"BOUIRA","Ouled Rached","Draa Ouled M'hamed","36.154228","4.136297","دراع اولاد محمد","اولاد راشد","640","Non","","éligible 2G ","",""
"BOUIRA","Ouled Rached","Taghzout","36.245401","4.101508","تاغزوت","أولاد راشد","400","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Raouraoua","Mechtat Toumiat","36.212037","3.636223","مشتة توميات","روراوة","1250","Non","","éligible ","",""
"BOUIRA","Raouraoua","Boussaada","36.209986","3.623967","بوسعادة","روراوة","170","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Raouraoua","Ouled Khbiza","36.202261","3.650811","اولاد خبيزة","روراوة","90","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Raouraoua","Taberamet","36.225096","3.624041","تبرميت","روراوة","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Raouraoua","Medioua","36.213832","3.556621","المديوة ","الروراوة","230","Non","","éligible ","",""
"BOUIRA","Ridane","Bir Ayed","36.0258","3.2809","بئر عياد","ريدان","374","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ridane","El Kharbachia","36.04","3.3119","الخرباشية","ريدان","210","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Saharidj","Mzarir","36.426356","4.205343","مزاريراغزر اوقورن","سحاريج","300","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","Laouada","36.355046","3.590969","لعوادة","سوق الخميس","135","Non","","éligible NH ","",""
"BOUIRA","Souk El Khemis","El Ghraba1","36.407074","3.645676","الغرابة 1","سوق الخميس","36","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Souk El Khemis"," Cherihat","36.363805","3.597185","شريحات","سوق الخميس","135","Non","","éligible 2G NH","",""
"BOUIRA","Souk El Khemis","Ouled Seaid","36.379517","3.599526","اولاد سعيدا","سوق الخميس","418","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","Ouled Zidane","36.386497","3.608609","اولاد زيدان","سوق الخميس","112","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","Ain Mebarek","36.403012","3.631665","عين مبارك","سوق الخميس","65","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","El Ghraba2","36.401637","3.638111","الغرابة 2","سوق الخميس","127","Non","","éligible 2G NH","",""
"BOUIRA","Souk El Khemis","Ain El Hadjer","36.383103","3.65167","عين الحجر","سوق الخميس","20","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","Mehaissar","36.356708","3.652919","محيسر","سوق الخميس","142","Non","","éligible NH ","",""
"BOUIRA","Souk El Khemis","Ouled Yahia","36.355403","3.647997","اولاد يحي","سوق الخميس","209","Non","","éligible 2G ","",""
"BOUIRA","Souk El Khemis","Lounenssa","36.364486","3.622328","لونانسة","سوق الخميس","439","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","Ouled Abdi","36.365568","3.637699","اولاد عبدي","سوق الخميس","54","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Souk El Khemis","Ouled Serine","36.36985","3.649277","اولاد سيرين","سوق الخميس","120","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Souk El Khemis","Oued Lakhmis","36.370165","3.674854","واد لخميس","سوق الخميس","313","Non","","éligible 2G ","",""
"BOUIRA","Taghzout","Tizi El Kiss ","36.438243","3.999028","تيزي القيس","تغزوت","475","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Taghzout","Tala Boughlale","36.448113","3.954347","ثالة بوغلال","تغزوت","707","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Taghzout","Route Boumssadene","36.2513","3.575","طريق بومسعدان ","تاغزوت","40","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Taghzout","Maadhi","36.44422","3.966585","معضي","تغزوت","633","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Taguedit","Chria","35.922085","3.984062","الشريعة","تاقديت","100","Non","","Exclue GPS","",""
"BOUIRA","Taguedit","Garn Essafia (Faidh Boukhalfa)","35.907298","3.903365","قرن الصافية(فيض بوخالفة)","تاقديت","143","Non","","éligible NH ","",""
"BOUIRA","Taguedit","Ouled Chehba","35.961808","3.989052","اولاد شهبة","تاقديت","250","Non","","Exclue GPS","",""
"BOUIRA","Taguedit","Garn Essafia","35.936951","3.892498","قرن الصافية","تاقديت","200","Non","","éligible ","",""
"BOUIRA","Taguedit","Ouled Yahia","36.017932","3.927343","اولاد يحي","تاقديت","250","Non","","éligible 2G ","",""
"BOUIRA","Taguedit","Ouled Toumi","36.035358","3.839593","اولاد تومي","تاقديت","100","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Taguedit","Douar Zaoui","35.905845","3.922538","دوار زاوي","تاقديت","50","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Taguedit","Garn Essafia Tarche","35.91884","3.894699","قرن الصافية طرش","تاقديت","100","Non","","éligible NH ","",""
"BOUIRA","Taguedit","El Maktaa","35.956664","3.913504","المقطع","تاقديت","508","Non","","éligible ","",""
"BOUIRA","Taguedit","El Arakib - Nazel MeHala","35.979175","4.020896","العراقيب ونزل محلة","تاقديت","50","Non","","Exclue GPS","",""
"BOUIRA","Z'BARBAR","ouled bougherane","36.471172","3.400186","اولاد بوغرنان","زبربر","141","Non","","éligible AT NH","",""
"BOUIRA","Z'BARBAR","ouled gacem","36.485525","3.550998","اولاد قاسم","زبربر","1500","Non","","éligible 2G ","",""
"BOUIRA","Z'BARBAR","Village Rhamnia","36.472032","3.480843","قرية رحامنية","زبربر","201","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Z'BARBAR","Village  Thaalaba","36.450483","3.523104","قرية ثعالبة","زبربر","198","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Z'BARBAR","Village Zaabib","36.94513","3.484011","قرية زعبيب","زبربر","170","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Z'BARBAR","Village  Krana","36.488786","3.504916","قرية كرانة","زبربر","100","Non","","éligible 2G NH","",""
"BOUIRA","Z'BARBAR","Village Ghranta","36.488811","3.505025","قرية غرانطة","زبربر","98","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Z'BARBAR","Village Ouled EL Khier","36.471423","3.512413","قرية اولاد الخير","زبربر","65","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
